id,zipcode_5,CAND_PARTY,donations_sum,donations_median,donations_count
0,60002,DEM,10779.0,27.0,163
1,60002,REP,11510.0,25.0,181
2,60004,DEM,104788.0,30.0,1079
3,60004,REP,67493.0,100.0,421
4,60004,UNK,1000.0,500.0,2
5,60005,DEM,71572.0,15.0,690
6,60005,IND,500.0,500.0,1
7,60005,REP,20267.0,100.0,135
8,60005,UNK,500.0,500.0,1
9,60007,DEM,35697.0,25.0,496
10,60007,REP,9411.0,100.0,54
11,60008,DEM,10579.0,25.0,323
12,60008,REP,8365.0,50.0,36
13,60009,DEM,122.0,12.0,8
14,60010,DEM,363161.0,50.0,1235
15,60010,IND,150.0,150.0,1
16,60010,REP,767854.0,250.0,883
17,60010,UNK,2000.0,2000.0,1
18,60011,DEM,1333.0,50.0,12
19,60011,REP,1000.0,1000.0,1
20,60012,DEM,11639.0,25.0,168
21,60012,REP,6972.0,100.0,30
22,60013,DEM,16670.0,19.0,329
23,60013,REP,40675.0,87.5,52
24,60014,DEM,37911.0,25.0,734
25,60014,REP,25795.0,75.0,123
26,60015,DEM,478575.0,75.0,1685
27,60015,DFL,2000.0,1000.0,2
28,60015,OTH,2500.0,1250.0,2
29,60015,REP,246749.0,250.0,407
30,60015,UNK,3350.0,400.0,3
31,60016,DEM,41090.0,25.0,630
32,60016,REP,28084.0,50.0,93
33,60016,UNK,1000.0,500.0,2
34,60018,DEM,33644.0,22.0,238
35,60018,DFL,900.0,250.0,3
36,60018,IND,1500.0,750.0,2
37,60018,REP,119075.0,100.0,106
38,60020,DEM,10222.0,36.0,124
39,60020,REP,1085.0,35.0,24
40,60021,DEM,1748.0,50.0,38
41,60021,REP,2470.0,50.0,24
42,60022,DEM,589269.0,250.0,1076
43,60022,DFL,2000.0,1000.0,2
44,60022,IND,150.0,150.0,1
45,60022,REP,574405.0,725.0,530
46,60022,UNK,19000.0,2600.0,10
47,60025,DEM,202339.0,25.0,1354
48,60025,REP,230901.0,100.0,440
49,60026,DEM,107183.0,50.0,781
50,60026,IND,150.0,150.0,1
51,60026,REP,119980.0,250.0,216
52,60029,DEM,8030.0,25.0,51
53,60029,REP,12236.0,201.0,36
54,60030,DEM,57429.0,27.0,592
55,60030,REP,17917.0,70.0,98
56,60031,DEM,33529.0,25.0,526
57,60031,REP,27632.0,50.0,127
58,60031,UNK,1000.0,500.0,2
59,60033,DEM,7431.0,25.0,147
60,60033,REP,3050.0,250.0,13
61,60034,DEM,750.0,100.0,8
62,60035,DEM,1670439.0,75.0,4905
63,60035,DFL,12050.0,2700.0,6
64,60035,IND,300.0,300.0,1
65,60035,REP,647261.0,500.0,731
66,60035,UNK,5500.0,1500.0,5
67,60038,REP,250.0,250.0,1
68,60039,DEM,56.0,10.0,5
69,60039,REP,437.0,25.0,5
70,60040,DEM,16541.0,36.0,142
71,60040,REP,7950.0,100.0,25
72,60041,DEM,5933.0,19.0,90
73,60041,REP,350.0,175.0,2
74,60042,DEM,3924.0,15.0,56
75,60042,REP,100.0,25.0,4
76,60043,DEM,118869.0,500.0,146
77,60043,REP,202471.0,500.0,248
78,60044,DEM,52751.0,50.0,266
79,60044,REP,142987.0,100.0,304
80,60045,DEM,526874.0,200.0,789
81,60045,DFL,1000.0,1000.0,1
82,60045,REP,1680704.0,500.0,1320
83,60045,UNK,5400.0,2700.0,2
84,60046,DEM,26442.0,27.0,426
85,60046,REP,17120.0,50.0,84
86,60046,UNK,500.0,500.0,1
87,60047,DEM,150769.0,50.0,582
88,60047,REP,108846.0,200.0,231
89,60048,DEM,72081.0,40.0,648
90,60048,REP,171540.0,100.0,339
91,60048,UNK,1000.0,1000.0,1
92,60050,DEM,10693.0,25.0,282
93,60050,REP,10045.0,75.0,57
94,60051,DEM,4957.0,25.0,137
95,60051,REP,5413.0,100.0,37
96,60053,DEM,33564.0,21.5,338
97,60053,REP,54475.0,50.0,48
98,60056,DEM,33712.0,15.0,721
99,60056,REP,33253.0,100.0,126
100,60058,REP,2000.0,2000.0,1
101,60060,DEM,52843.0,25.0,551
102,60060,REP,183045.0,500.0,95
103,60060,UNK,5400.0,2700.0,2
104,60061,DEM,43373.0,25.0,437
105,60061,REP,18049.0,200.0,60
106,60062,DEM,445512.0,50.0,1889
107,60062,IND,1250.0,500.0,3
108,60062,REP,614469.0,250.0,729
109,60064,DEM,469.0,14.0,24
110,60064,REP,4850.0,300.0,7
111,60065,REP,21450.0,2700.0,11
112,60066,DEM,10.0,10.0,1
113,60067,DEM,74879.0,25.0,710
114,60067,REP,277399.0,100.0,305
115,60068,DEM,168868.0,25.0,1347
116,60068,GRE,110.0,55.0,2
117,60068,IND,100.0,100.0,1
118,60068,REP,60563.0,100.0,165
119,60068,UNK,250.0,250.0,1
120,60069,DEM,71115.0,36.0,383
121,60069,REP,42796.0,188.0,120
122,60069,UNK,1000.0,1000.0,1
123,60070,DEM,11783.0,36.0,184
124,60070,REP,38517.0,250.0,80
125,60070,UNK,1000.0,1000.0,1
126,60071,DEM,2687.0,20.0,20
127,60071,REP,4754.0,100.0,17
128,60072,DEM,855.0,50.0,20
129,60072,REP,550.0,25.0,3
130,60073,DEM,5702.0,15.0,172
131,60073,REP,9795.0,30.0,57
132,60074,DEM,34121.0,50.0,246
133,60074,IND,275.0,137.5,2
134,60074,REP,17627.0,100.0,94
135,60075,DEM,250.0,100.0,3
136,60076,DEM,88168.0,27.0,914
137,60076,REP,20222.0,250.0,70
138,60076,UNK,1500.0,1500.0,1
139,60077,DEM,75951.0,27.0,554
140,60077,REP,101172.0,50.0,218
141,60078,DEM,100.0,100.0,1
142,60078,REP,2500.0,2500.0,1
143,60079,DEM,50.0,50.0,1
